section,depth,name,namespace,compiles,verdict,blocker_kind,blocker,blocker_detail,test_args,interp_ms,compiled_ms,compiled_over_interp,direct_callees,hash
1 proven equal,0,Darklang.Cli.AI.Agent.defaultModelForProvider,Darklang.Cli,yes,match,,,,"Darklang.Cli.AI.Agent.defaultModelForProvider ""hello""",,,,0,5176ac2f0fce2439af333dfe13c0544e69e686f9ab3681d21cf15d050d74df82
1 proven equal,0,Darklang.Cli.AI.Agent.fixTaskPrompt,Darklang.Cli,yes,match,,,,"Darklang.Cli.AI.Agent.fixTaskPrompt ""hello""",,,,0,5371566a763bbd2686bcf75826054a1971a5d6aaa55e85c48ede1f5e772a42ad
1 proven equal,0,Darklang.Cli.AI.Agent.providerDisplayName,Darklang.Cli,yes,match,,,,"Darklang.Cli.AI.Agent.providerDisplayName ""hello""",,,,0,9473c6215022a4706ede5cca0bb48b3dc6881f16990f286b16e264a9a51819c1
1 proven equal,0,Darklang.Cli.AI.Agent.reviewTaskPrompt,Darklang.Cli,yes,match,,,,"Darklang.Cli.AI.Agent.reviewTaskPrompt ""hello""",,,,0,7fff35ed7c586c6c1281f065db208db60ebf4e8fe23d5f43de44ccf2b2a1b2ad
1 proven equal,0,Darklang.Cli.Apps.Editor.messageRows,Darklang.Cli,yes,match,,,,"Darklang.Cli.Apps.Editor.messageRows (Darklang.Cli.Apps.Editor.State { apps = [(Darklang.Cli.Apps.Model.App { name = ""hello""; slug = ""hello""; description = ""hello""; target = (Darklang.Cli.Apps.Model.Target.Foreground(""hello"")) })]; presentation = [(Darklang.Cli.Apps.Editor.AppPresentation { installe",,,,0,765e0e7d0b95abdb08d22517e2f7d9e7bb40f8553bba1cbd5b3b701b74ac7f22
1 proven equal,0,Darklang.Cli.Apps.Model.isDaemon,Darklang.Cli,yes,match,,,,"Darklang.Cli.Apps.Model.isDaemon (Darklang.Cli.Apps.Model.Target.Foreground(""hello""))",,,,0,4f584b151e228896f352e01dd4b98e92de61c5f69915f55b98df93faa9d72855
1 proven equal,0,Darklang.Cli.Apps.Model.kindTag,Darklang.Cli,yes,match,,,,"Darklang.Cli.Apps.Model.kindTag (Darklang.Cli.Apps.Model.Target.Foreground(""hello""))",,,,0,33d9e385b14eba999056adf11a50323e663b9e86819791f1de8ac5743b4bcab7
1 proven equal,0,Darklang.Cli.Apps.Model.reference,Darklang.Cli,yes,match,,,,"Darklang.Cli.Apps.Model.reference (Darklang.Cli.Apps.Model.Target.Foreground(""hello""))",,,,0,3c869ab6b18f4a57465f815e5f2ca9d5ba55da508c4bc72758c4214f18c45283
1 proven equal,0,Darklang.Cli.Apps.Registry.available,Darklang.Cli,yes,match,,,,Darklang.Cli.Apps.Registry.available (),,,,0,d718aa5ba721dab155139ccb948a483b0b155fd78599d6a2f68b86a81ade591e
1 proven equal,0,Darklang.Cli.Apps.Views.AiChats.demoThreads,Darklang.Cli,yes,match,,,,Darklang.Cli.Apps.Views.AiChats.demoThreads (),,,,0,38609269dea3b8d1c91f8461be0f90ec3a1446b30c444ca1d82c73a5cd31d997
1 proven equal,0,Darklang.Cli.Apps.Views.PackageStats.demoStats,Darklang.Cli,yes,match,,,,Darklang.Cli.Apps.Views.PackageStats.demoStats (),,,,0,0a1911db6d8dc9d50f608a1c194f0a91d4911df85a23406c8dd4ec67f33f2528
1 proven equal,0,Darklang.Cli.Apps.Views.allViews,Darklang.Cli,yes,match,,,,Darklang.Cli.Apps.Views.allViews (),,,,0,e2f2c5cd224e760c9e17a787b1d5950eaede085a6394f73eed985c0a7eb62274
1 proven equal,0,Darklang.Cli.Builtins.purityTag,Darklang.Cli,yes,match,,,,Darklang.Cli.Builtins.purityTag Darklang.LanguageTools.BuiltinFunctionPurity.Pure,,,,0,54dacdf6689bf93c704699103dcd4d2fc8fe32b39fed24efbb3fca78c2231f93
1 proven equal,0,Darklang.Cli.Commit.itemKindOf,Darklang.Cli,yes,match,,,,"Darklang.SCM.Deps.kindOf ""hello""",,,,0,79cdb2b90e28373e23052345506026f9c380121c9c7c33593286d3a23bbe1830
1 proven equal,0,Darklang.Cli.Completion.simple,Darklang.Cli,yes,match,,,,"Darklang.Cli.Completion.simple ""hello""",,,,0,8227280021bd370454633ecd661aa119c836bf856ab9956922d03b9ed2cf6504
1 proven equal,0,Darklang.Cli.CompletionPicker.buildCompletedCommand,Darklang.Cli,yes,match,,,,"Darklang.Cli.CompletionPicker.buildCompletedCommand (Darklang.Cli.CompletionPicker.State { items = [(Darklang.Cli.Completion.CompletionItem { display = ""hello""; value = ""hello"" })]; selectedIndex = 5; scrollOffset = 5; commandPrefix = ""hello"" }) ""hello""",,,,0,a6ae32f616c4635e28ef7ee81714d8a9ee7d43a864c561a8f3e744236d451440
1 proven equal,0,Darklang.Cli.CompletionPicker.moveUp,Darklang.Cli,yes,match,,,,"Darklang.Cli.CompletionPicker.moveUp (Darklang.Cli.CompletionPicker.State { items = [(Darklang.Cli.Completion.CompletionItem { display = ""hello""; value = ""hello"" })]; selectedIndex = 5; scrollOffset = 5; commandPrefix = ""hello"" })",,,,0,e4513c34c5ac5b056b558d3aa0993ddf0fcf5a676ec83680a50914f968a15626
1 proven equal,0,Darklang.Cli.Component.noRefresh,Darklang.Cli,yes,match,,,,Darklang.Cli.Component.noRefresh 5L 5L,,,,0,63087cee1ba812bfb984c89db903dde33f78e8ac7abd6569f4ea3d633c2811a0
1 proven equal,0,Darklang.Cli.Component.noSave,Darklang.Cli,yes,match,,,,Darklang.Cli.Component.noSave 5L,,,,0,7581a628c5314131365d8194d46bdd250a30237506981d0e3761da53f255e517
1 proven equal,0,Darklang.Cli.Conflicts.whoseCandidate,Darklang.Cli,yes,match,,,,"Darklang.Cli.Conflicts.whoseCandidate ""hello"" (Darklang.SCM.Conflicts.Candidate { side = ""hello""; hash = ""hello""; removed = true; text = ""hello""; originTs = ""hello""; author = ""hello"" })",,,,0,f92f2f4ea7c1985c153cc21b7443b44d5f0887421c41159116cf77dea46f0a53
1 proven equal,0,Darklang.Cli.ConstraintsCmd.listingUnderstands,Darklang.Cli,yes,match,,,,"Darklang.Cli.ConstraintsCmd.listingUnderstands [""hello"", ""hello"", ""hello""]",,,,0,0b83f27201060d32f1d5a70035295c720b897e906a7a08472b7035ed7cb40511
1 proven equal,0,Darklang.Cli.ConstraintsCmd.policyName,Darklang.Cli,yes,match,,,,Darklang.Cli.ConstraintsCmd.policyName Darklang.LanguageTools.ProgramTypes.PropagationPolicy.Pin,,,,0,53827e2ec8af9ba1dc4188a138cf50c6d32b8d8817e8c3feb253190c8ec86ed5
1 proven equal,0,Darklang.Cli.Docs.CLI.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.CLI.content (),,,,0,2e7d43fa676dfd8ab843989e6e4c2de43a2a896a3b565f1dbed90dd557cddbde
1 proven equal,0,Darklang.Cli.Docs.Enums.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Enums.content (),,,,0,ed44c12953db3b19eccbd43bd5d349e66667befbd728480ab63c67cf574ca58f
1 proven equal,0,Darklang.Cli.Docs.Errors.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Errors.content (),,,,0,3708f1a45381e0df24d4a5bb9883ce339294bfb2ab7cf9c6f2d9d6be511029ca
1 proven equal,0,Darklang.Cli.Docs.ForAI.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.ForAI.content (),,,,0,5d663dc5eed364c093b85cbf9e8c3025e7f6e679505fc669dbe208d0c0882502
1 proven equal,0,Darklang.Cli.Docs.ForAIInternal.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.ForAIInternal.content (),,,,0,164fcebdc6478417ab739e1d136cec964f1a3b290bfe3e5c2e0dbbb76dec30db
1 proven equal,0,Darklang.Cli.Docs.Functions.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Functions.content (),,,,0,17b742781557c13fe6754cfc56d04b1712b757d1a1336ec1fcf41617e59dbbb0
1 proven equal,0,Darklang.Cli.Docs.HttpServer.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.HttpServer.content (),,,,0,b8883e323a22b849810ac36d5b70c9cb9367a240bf526aeb050a4dfde8085205
1 proven equal,0,Darklang.Cli.Docs.Packages.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Packages.content (),,,,0,5ff3f625d006617bd41fabd192a43230e7259de8394d0d266f44430f22e65957
1 proven equal,0,Darklang.Cli.Docs.PatternMatching.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.PatternMatching.content (),,,,0,21fc68361b288ea795237db4f750ee8ddd907ecdb30b873c47fba83d5d47f5f3
1 proven equal,0,Darklang.Cli.Docs.Records.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Records.content (),,,,0,b564cc159f2e2df6d993c0e91686b0767d31e462bc945baea2df793864766ff9
1 proven equal,0,Darklang.Cli.Docs.Relay.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Relay.content (),,,,0,f6502dd72bd174b89ed38b811c3f63a70f16759c90d2fe3e8d328de5624d774e
1 proven equal,0,Darklang.Cli.Docs.SCM.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.SCM.content (),,,,0,68d6202e205c84497ffce49d8cfaf84918e2a488de4dfe40e6a0a2f480a00347
1 proven equal,0,Darklang.Cli.Docs.Stdlib.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Stdlib.content (),,,,0,1bdd39b0bbeee2995ebe518ddb81a4d550cc545fb350a7ed6dfc8d73a36de9f2
1 proven equal,0,Darklang.Cli.Docs.StdlibOverview.topLevelBucket,Darklang.Cli,yes,match,,,,"Darklang.Cli.Docs.StdlibOverview.topLevelBucket (Darklang.LanguageTools.ProgramTypes.PackageLocation { owner = ""hello""; modules = [""hello""]; name = ""hello"" })",,,,0,5717b1b5b03a526740826655ec94f3c4ea2e0fbaae2cdd1337679b810cd8be19
1 proven equal,0,Darklang.Cli.Docs.Syntax.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Syntax.content (),,,,0,3c7d9720a2ef8bd545a2c101dc1ffd24b88e1267f6d35d2cdc4d69f7ff4f3d55
1 proven equal,0,Darklang.Cli.Docs.Types.content,Darklang.Cli,yes,match,,,,Darklang.Cli.Docs.Types.content (),,,,0,1f221e78f2e2f31f75c5d0253cff0652b267e40c735bf9031182cbe7c60efc66
1 proven equal,0,Darklang.Cli.FlagParser.parseErrorMessage,Darklang.Cli,yes,match,,,,"Darklang.Cli.FlagParser.parseErrorMessage (Darklang.Cli.FlagParser.ParseError.UnknownFlag(""hello""))",,,,0,14b97cb9788d0461aa70d5fa261229aa710e64810dea982472bad881e4fee95f
1 proven equal,0,Darklang.Cli.Http.Serve.defaultArgs,Darklang.Cli,yes,match,,,,Darklang.Cli.Http.Serve.defaultArgs (),,,,0,ead4b1ba0dabebacd33929569470c70056f1f9f6754571272f8f478704769229
1 proven equal,0,Darklang.Cli.Http.Serve.usageLines,Darklang.Cli,yes,match,,,,Darklang.Cli.Http.Serve.usageLines (),,,,0,fc34801c97071313efb07a0adacc749a01ce5bedaf160494e18f6b81b7fdbf43
1 proven equal,0,Darklang.Cli.Installation.System.installationModeToString,Darklang.Cli,yes,match,,,,Darklang.Cli.Installation.System.installationModeToString Darklang.Cli.Installation.System.InstallationMode.Portable,,,,0,3f1cbd2d0c438799b7a8847a943e39ff551e7b23d69a34a6e5fc08507fb09f82
1 proven equal,0,Darklang.Cli.Ops.movedFromOps,Darklang.Cli,yes,match,,,,"Darklang.Cli.Ops.movedFromOps ""hello""",,,,0,47ec3591206cd5002d616a9dfa8444015e30ef4660b0f4d0756fa2584fd107ea
1 proven equal,0,Darklang.Cli.Outliner.Editor.clearFilter,Darklang.Cli,yes,match,,,,"Darklang.Cli.Outliner.Editor.clearFilter (Darklang.Cli.Outliner.Editor.State { outline = (Darklang.Cli.Outliner.Outline { nodes = (Stdlib.Dict.fromListOverwritingDuplicates [(""k"", (Darklang.Cli.Outliner.NodeContent { text = ""hello""; mark = Darklang.Cli.Outliner.Mark.Plain }))]); structure = (Stdlib.",,,,0,01b0e11a1c408b455513d4fa23e829901cae02c6f04db97b1509f8efae816c9e
1 proven equal,0,Darklang.Cli.Outliner.Editor.emptyMessage,Darklang.Cli,yes,match,,,,"Darklang.Cli.Outliner.Editor.emptyMessage (Darklang.Cli.Outliner.Editor.State { outline = (Darklang.Cli.Outliner.Outline { nodes = (Stdlib.Dict.fromListOverwritingDuplicates [(""k"", (Darklang.Cli.Outliner.NodeContent { text = ""hello""; mark = Darklang.Cli.Outliner.Mark.Plain }))]); structure = (Stdlib",,,,0,154cb2d657562cd1a51291ad55b5e57684fc8e19be734309ae9c7759371110f3
1 proven equal,0,Darklang.Cli.Outliner.Editor.gutterFor,Darklang.Cli,yes,match,,,,Darklang.Cli.Outliner.Editor.gutterFor true,,,,0,b03282b6840a5050f132e36aa1f7839df9df6e0a6fdea7867c962391aa850996
1 proven equal,0,Darklang.Cli.Outliner.Editor.marker,Darklang.Cli,yes,match,,,,"Darklang.Cli.Outliner.Editor.marker (Darklang.Cli.Outliner.VisibleNode { id = 5; text = ""hello""; mark = Darklang.Cli.Outliner.Mark.Plain; depth = 5; hasChildren = true; hiddenCount = 5; childCount = 5; isCollapsed = true })",,,,0,d528f4c8dfed159ff8fc6868e6c0f33a7145e9cb66b96c2b3d9bab1b1d5ed579
1 proven equal,0,Darklang.Cli.Outliner.Markdown.bulletFor,Darklang.Cli,yes,match,,,,Darklang.Cli.Outliner.Markdown.bulletFor Darklang.Cli.Outliner.Mark.Plain,,,,0,3ff39f5124835095115639cdc29cbbbdfddea355eda87c60c6df919dbe2c3921
1 proven equal,0,Darklang.Cli.Outliner.emptyOutline,Darklang.Cli,yes,match,,,,Darklang.Cli.Outliner.emptyOutline (),,,,0,a76cce07f561bcafed7e6c0525200b2e9b83b7ec982f58491e28fb8f6b651592
1 proven equal,0,Darklang.Cli.Outliner.emptyStructure,Darklang.Cli,yes,match,,,,Darklang.Cli.Outliner.emptyStructure (),,,,0,f0ddc372378872dd551cf73e9f7e1ecbe5da6a899230dd538db9d88baaae42fe
1 proven equal,0,Darklang.Cli.Packages.AtRestCheck.sameOrMirrored,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.AtRestCheck.sameOrMirrored (Darklang.LanguageTools.AtRestTypeChecker.Issue { code = Darklang.LanguageTools.AtRestTypeChecker.IssueCode.TypeMismatch; nodeId = (Stdlib.Option.Option.Some 5UL); expected = (Stdlib.Option.Option.Some Darklang.LanguageTools.AtRestTypeChecker.StaticTy,,,,0,648e2618d5db1eecaa61990c8da2f8daf2efd9df840ff2601e5551b5179f89ab
1 proven equal,0,Darklang.Cli.Packages.AtRestCheck.summary,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.AtRestCheck.summary (Darklang.LanguageTools.AtRestTypeChecker.Report { verdict = Darklang.LanguageTools.AtRestTypeChecker.Verdict.Checked; items = []; diagnostics = [(Darklang.LanguageTools.AtRestTypeChecker.Issue { code = Darklang.LanguageTools.AtRestTypeChecker.IssueCode.Type,,,,0,eb9ef745869ee13fb7fb6a456de17c565c8b2a582767a3418816ee4363d3b915
1 proven equal,0,Darklang.Cli.Packages.Deprecate.parseKind,Darklang.Cli,yes,match,,,,"Darklang.Cli.Packages.Deprecate.parseKind Darklang.LanguageTools.ProgramTypes.ItemKind.Fn ""hello"" (Stdlib.Option.Option.Some (Darklang.LanguageTools.ProgramTypes.Reference.PackageType((Darklang.LanguageTools.RuntimeTypes.Hash.Hash(""hello"")))))",,,,0,0429c7a47af5e9a7493560090e4d21b3ed9cfd3b0c1cc22b1588b07e93835f6c
1 proven equal,0,Darklang.Cli.Packages.Display.getIcon,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.Display.getIcon Darklang.Cli.Packages.EntityType.Module,,,,0,e8e6b589c037c2983e6feb6c53a981599884004a2c5792709013016ce043843b
1 proven equal,0,Darklang.Cli.Packages.Edit.itemLocation,Darklang.Cli,yes,match,,,,"Darklang.Cli.Packages.Edit.itemLocation (Darklang.Cli.Packages.PackageLocation.Module([""hello""]))",,,,0,a12ef07dd7622c629ceb33cea6fa39badd0892a82913302283c8bd268c43455f
1 proven equal,0,Darklang.Cli.Packages.Errors.isInternalPackageName,Darklang.Cli,yes,match,,,,"Darklang.Cli.Packages.Errors.isInternalPackageName [""hello"", ""hello"", ""hello""]",,,,0,67e13728b6dcb043e9897f3e76c03e2da12ba30dbd991849e6cc41a460b908c1
1 proven equal,0,Darklang.Cli.Packages.NavInteractive.helpSections,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.NavInteractive.helpSections Darklang.Cli.Packages.NavInteractive.Mode.Nav Darklang.Cli.Packages.NavInteractive.Display.JustName,,,,0,0d733cc94abb36ba192580677957fb16eddad6823db7578ed98c46e2a01e5053
1 proven equal,0,Darklang.Cli.Packages.Propagate.itemKindFromString,Darklang.Cli,yes,match,,,,"Darklang.Cli.Packages.Propagate.itemKindFromString ""hello""",,,,0,a2f8e923d188a480786f23d8bae3fd6c10e95b2d4992b9b4c8a8cf50fbcfd6c6
1 proven equal,0,Darklang.Cli.Packages.Propagate.itemKindToString,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.Propagate.itemKindToString Darklang.LanguageTools.ProgramTypes.ItemKind.Fn,,,,0,7442b562d82333a87335d62d093b18d6a4fdf99a0dbc581396be48ca511ee9db
1 proven equal,0,Darklang.Cli.Packages.View.modeName,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.View.modeName Darklang.Cli.Packages.View.ViewMode.Source,,,,0,a38cbaa2fb216c3a812a6bf28e881e147a76910e2a9d41c1d559bb85f2ad0f64
1 proven equal,0,Darklang.Cli.Packages.initState,Darklang.Cli,yes,match,,,,Darklang.Cli.Packages.initState (),,,,0,a8a8fb45e08a18908f6cf3b1ed027467df40de9736aa8a66c30eb05c7e94b9f9
1 proven equal,0,Darklang.Cli.Permissions.Profiles.usage,Darklang.Cli,yes,match,,,,"Darklang.Cli.Permissions.Profiles.usage (Darklang.Cli.Permissions.Profiles.Profile { name = ""hello""; description = ""hello""; needsRoot = true })",,,,0,ca14f0a47c2fff1dd5f3845e33782a54a5e0a2d093cae598b9fd2efd7664cc04
1 proven equal,0,Darklang.Cli.Prompt.Editing.clear,Darklang.Cli,yes,match,,,,"Darklang.Cli.Prompt.Editing.clear (Darklang.Cli.Prompt.State { text = ""hello""; cursorPosition = 5; commandHistory = [""hello""]; historyIndex = 5; savedPrompt = ""hello"" })",,,,0,52957de74dcdab7e309053040076cba0162f8cc10d9af4870ea9e75e63d77fee
1 proven equal,0,Darklang.Cli.Prompt.Editing.moveCursorHome,Darklang.Cli,yes,match,,,,"Darklang.Cli.Prompt.Editing.moveCursorHome (Darklang.Cli.Prompt.State { text = ""hello""; cursorPosition = 5; commandHistory = [""hello""]; historyIndex = 5; savedPrompt = ""hello"" })",,,,0,e188e450869bae980b93507ccdd8908465ae6608d083ede0075018ed505b04dd
1 proven equal,0,Darklang.Cli.Prompt.initState,Darklang.Cli,yes,match,,,,Darklang.Cli.Prompt.initState (),,,,0,b6847879246300396949d35b072dce97b992d7424d9b2520009a1c47b87c5306
1 proven equal,0,Darklang.Cli.PropagateCmd.describeTarget,Darklang.Cli,yes,match,,,,"Darklang.Cli.PropagateCmd.describeTarget ""hello"" ""hello"" ""hello""",,,,0,bd2e1c501c93e53f6df306a1d68c45957cc36fc98befd519d85717b0e533473d
1 proven equal,0,Darklang.Cli.Registry.commandGroups,Darklang.Cli,yes,match,,,,Darklang.Cli.Registry.commandGroups (),,,,0,b87858e2720e1635d9f03713c1c1b74d9c436e8884a559337ea898384dab4e10
1 proven equal,0,Darklang.Cli.Run.allowAlways,Darklang.Cli,yes,match,,,,Darklang.Cli.Run.allowAlways (),,,,0,8ac743f46c4b1c144f7db55464e62fc220d009be4fea70bd159a8e900c2e64e0
1 proven equal,0,Darklang.Cli.Run.allowOnce,Darklang.Cli,yes,match,,,,Darklang.Cli.Run.allowOnce (),,,,0,dc438979387d8af44edc5a373391387acdac41af0f7bcf1af66d8e45608045f0
1 proven equal,0,Darklang.Cli.Run.denyChoice,Darklang.Cli,yes,match,,,,Darklang.Cli.Run.denyChoice (),,,,0,86b01259fc8984a785e8c4149286392dec4bad14b6554072be6acad61341edf3
1 proven equal,0,Darklang.Cli.ScmJson.changeNote,Darklang.Cli,yes,match,,,,"Darklang.Cli.ScmJson.changeNote ""hello""",,,,0,ce6c4455eccb4b27ec80662796de221a389238febb256c2b3ba1e9ec24219967
1 proven equal,0,Darklang.Cli.SyntaxHighlighting.tokenTypeToCliColor,Darklang.Cli,yes,match,,,,Darklang.Cli.SyntaxHighlighting.tokenTypeToCliColor Darklang.LanguageTools.SemanticTokens.TokenType.Symbol,,,,0,6a694142488fece459a9bbdaf6bef55d2fabb12b012176d757937eda27369779
1 proven equal,0,Darklang.Cli.Terminal.palette,Darklang.Cli,yes,match,,,,Darklang.Cli.Terminal.palette (),,,,0,845ed641a02372b6ba661fc049c6af488b977f15e9dddede4bd6bfa66e8c3657
1 proven equal,0,Darklang.Cli.Tests.Instance.env,Darklang.Cli,yes,match,,,,"Darklang.Cli.Tests.Instance.env (Darklang.Cli.Tests.Instance.T { dir = ""hello""; cli = ""hello"" })",,,,0,44364c90434ba7abae26407f8d2398144bf0e234e3834d883ef3186efec5e976
1 proven equal,0,Darklang.Cli.Tests.bound,Darklang.Cli,yes,match,,,,"Darklang.Cli.Tests.bound ""hello"" ""hello""",,,,0,af41b5b6b67ab8e22520aa8a5e7446611f8645a01f24f2d3010836042039b694
1 proven equal,0,Darklang.Cli.Tracing.ordinalSuffix,Darklang.Cli,yes,match,,,,Darklang.Cli.Tracing.ordinalSuffix 5,,,,0,cad99b6b4bff616659ca2c1ba959d36bf8c3fb4fc7037504cfac44e35f0ede1c
1 proven equal,0,Darklang.Cli.Workbench.aiSectionAt,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.aiSectionAt 5,,,,0,63bf9b1b672016d91e38a2f9f080bffbd79fbe1fcbff5d8828b97ee990d7cef4
1 proven equal,0,Darklang.Cli.Workbench.aiSectionIndex,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.aiSectionIndex Darklang.Cli.Workbench.AiSection.Agents,,,,0,0b4a6fdf4ac89e921fed84122234e1be684d5bbce74a75a9ac1e9c513f947650
1 proven equal,0,Darklang.Cli.Workbench.calendarItems,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.calendarItems (),,,,0,f55c00d26968322db4493579901e63bbd0e8cbbecb90ec6d72c1351f5191513b
1 proven equal,0,Darklang.Cli.Workbench.demoPrompts,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.demoPrompts (),,,,0,8e2041fad04bc4d232c114ae3ad242fcf8694558766564c27e0a0d38852e4661
1 proven equal,0,Darklang.Cli.Workbench.emptyAi,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.emptyAi (),,,,0,f65040387b6fa2f04a19a9811e3de0b4d13c64495da4bca862de6866d02a5675
1 proven equal,0,Darklang.Cli.Workbench.emptyMatter,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.emptyMatter (),,,,0,ef293a8d7343879eba96830ca4928e4838ceee31f0394b0fbf0b06fcdce6ce0c
1 proven equal,0,Darklang.Cli.Workbench.emptyRepl,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.emptyRepl (),,,,0,4efe3154a8ae28bb35c1d7ead35a8d6a3f4f71332a32d405b5e1f3ef82710f95
1 proven equal,0,Darklang.Cli.Workbench.emptyScm,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.emptyScm (),,,,0,83218ecaccf5f622e06bce698e54f5ed823fd3b0a10834f3f858765103a0b565
1 proven equal,0,Darklang.Cli.Workbench.emptyScmStatus,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.emptyScmStatus (),,,,0,894f848a2bfc451358b93e02a54616514d5df7095afa65d7bf1a8a71fb183761
1 proven equal,0,Darklang.Cli.Workbench.emptySearch,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.emptySearch (),,,,0,6fe314bb28abcbaedc15b7ff20c7aad0a9cf84fd2246730595717e0072919130
1 proven equal,0,Darklang.Cli.Workbench.homeHeader,Darklang.Cli,yes,match,,,,"Darklang.Cli.Workbench.homeHeader ""hello""",,,,0,c481f25b0fec55018271dcb0cf4b4c17e6472e573fa507242242d12db390718a
1 proven equal,0,Darklang.Cli.Workbench.isHomeHeader,Darklang.Cli,yes,match,,,,"Darklang.Cli.Workbench.isHomeHeader (Darklang.Cli.Workbench.BodyItem { name = ""hello""; kind = ""hello""; isModule = true; desc = ""hello"" })",,,,0,8fbce2b9baf05187fcb1c40eccb5fe17c398efcaa5f82ce154dfa92afda31236
1 proven equal,0,Darklang.Cli.Workbench.loadCronItems,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.loadCronItems (),,,,0,6a2f8c33cc58322a2c54a31ea1758b7ab8635b6ad809bcfdaece1a3353505556
1 proven equal,0,Darklang.Cli.Workbench.mkDest,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.mkDest 5 5,,,,0,b587503a37c31550b5afad0df930bacbd9d8143bddd8fd5000a5fd57dfd5004a
1 proven equal,0,Darklang.Cli.Workbench.otherLens,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.otherLens Darklang.Cli.Workbench.Lens.WholeTree,,,,0,2da3284c1d4a5296e95399e9b8c3b2454f9acdfd2aecc6ac13d9d50c82ec4659
1 proven equal,0,Darklang.Cli.Workbench.scmSectionAt,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.scmSectionAt 5,,,,0,bf6232e1fc3509503193b3c7dc33fdde529ba0a5d99a26821f41c1791357fb1b
1 proven equal,0,Darklang.Cli.Workbench.scmSectionIndex,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.scmSectionIndex Darklang.Cli.Workbench.ScmSection.Changes,,,,0,ef86d4b6e7ac6c2cfd71f3f88a5248980359154a781bc7f41deb043206bfd69b
1 proven equal,0,Darklang.Cli.Workbench.sidebarIsColumn,Darklang.Cli,yes,match,,,,Darklang.Cli.Workbench.sidebarIsColumn 5,,,,0,8685a580d37a0236758a25710787147aed6071324fda7d304901b3bd15529a81
1 proven equal,0,Darklang.Compiler.Sweep.hashOf,Darklang.Compiler,yes,match,,,,"Darklang.Compiler.Sweep.hashOf ""hello""",,,,0,eb401f151d9a18715ff6942e461dd3081b7c271c4cd79c02ed1a5a487c12b16e
1 proven equal,0,Darklang.Compiler.Sweep.isStdlib,Darklang.Compiler,yes,match,,,,"Darklang.Compiler.Sweep.isStdlib (Darklang.Compiler.Sweep.Item { hash = ""hello""; kind = ""hello""; modules = [""hello""]; name = ""hello"" })",,,,0,c91763b784804b20d7b59d81786bcbfc3f9ae32e11e6f4de3da0e0cbd10667fd
1 proven equal,0,Darklang.Compiler.Sweep.resultMark,Darklang.Compiler,yes,match,,,,Darklang.Compiler.Sweep.resultMark (),,,,0,f4458f05f1c76a3fcb2075984808c50eb106c49ff46171ef987a1cc6bc8a8c42
1 proven equal,0,Darklang.CompilerCases.Stdlib.AltJson.numberInArray,Darklang.CompilerCases,yes,match,,,,Darklang.CompilerCases.Stdlib.AltJson.numberInArray (),,,,0,f74c0f2e457b5fee1de3f1d4c1506a4892f60a0788c2818c41401c04e7662377
1 proven equal,0,Darklang.CompilerCases.Stdlib.AltJson.numberInObject,Darklang.CompilerCases,yes,match,,,,Darklang.CompilerCases.Stdlib.AltJson.numberInObject (),,,,0,7bfebbf63b872f4b146b731fe7518e5fb4f37df2c7860c7c92739738c5465322
